date,cases_sevendayaveraged
2020-03-01,4.714286
2020-03-02,5.285714
2020-03-03,7.285714
2020-03-04,12.857142
2020-03-05,20.714285
2020-03-06,28.428572
2020-03-07,34.285713
2020-03-08,44.42857
2020-03-09,53.57143
2020-03-10,58.57143
2020-03-11,73.85714
2020-03-12,103.42857
2020-03-13,153
2020-03-14,215.14285
2020-03-15,271.57144
2020-03-16,312.14285
2020-03-17,367.2857
2020-03-18,432.14285
2020-03-19,506.14285
2020-03-20,589.1429
2020-03-21,668.5714
2020-03-22,779.2857
2020-03-23,898
2020-03-24,1029.4286
2020-03-25,1270.4286
2020-03-26,1494.7142
2020-03-27,1735
2020-03-28,2020.5714
2020-03-29,2292.2856
2020-03-30,2519.5715
2020-03-31,2727.7144
2020-04-01,3000
2020-04-02,3301.4285
2020-04-03,3619.2856
2020-04-04,3874.2856
2020-04-05,4116.857
2020-04-06,4288.5713
2020-04-07,4394
2020-04-08,4548
2020-04-09,4692.857
2020-04-10,4729.2856
2020-04-11,4736.5713
2020-04-12,4661.4287
2020-04-13,4605.5713
2020-04-14,4598.5713
2020-04-15,4445.7144
2020-04-16,4282.5713
2020-04-17,4271.7144
2020-04-18,4331.2856
2020-04-19,4424.143
2020-04-20,4589.7144
2020-04-21,4643.143
2020-04-22,4677.143
2020-04-23,4743
2020-04-24,4806.857
2020-04-25,4788.857
2020-04-26,4786.5713
2020-04-27,4645.5713
2020-04-28,4587.7144
2020-04-29,4630.2856
2020-04-30,4619.2856
2020-05-01,4607.2856
2020-05-02,4578
2020-05-03,4550.143
2020-05-04,4478.857
2020-05-05,4411.143
2020-05-06,4219.5713
2020-05-07,4072
2020-05-08,3843.2856
2020-05-09,3675.5715
2020-05-10,3432.4285
2020-05-11,3277
2020-05-12,3182
2020-05-13,3212.5715
2020-05-14,3173.1428
2020-05-15,3101.4285
2020-05-16,2936.1428
2020-05-17,2859.8572
2020-05-18,2847.2856
2020-05-19,2775.8572
2020-05-20,2628.5715
2020-05-21,2579
2020-05-22,2491.7144
2020-05-23,2482.7144
2020-05-24,2415.1428
2020-05-25,2336.5715
2020-05-26,2270.2856
2020-05-27,2133.7144
2020-05-28,1991.8572
2020-05-29,1864.1428
2020-05-30,1748.4286
2020-05-31,1673.2858
2020-06-01,1616.1428
2020-06-02,1574.2858
2020-06-03,1547.7142
2020-06-04,1465.1428
2020-06-05,1400
2020-06-06,1327.4286
2020-06-07,1269.1428
2020-06-08,1222.2858
2020-06-09,1171.1428
2020-06-10,1122.5714
2020-06-11,1075.8572
2020-06-12,1051.1428
2020-06-13,1017.4286
2020-06-14,1007.4286
2020-06-15,1019.1429
2020-06-16,1034
2020-06-17,1026.2858
2020-06-18,1017.4286
2020-06-19,991.8571
2020-06-20,993.1429
2020-06-21,984.5714
2020-06-22,955.5714
2020-06-23,928.4286
2020-06-24,907.5714
2020-06-25,876.1429
2020-06-26,841.8571
2020-06-27,799.5714
2020-06-28,752.8571
2020-06-29,748.5714
2020-06-30,721.8571
2020-07-01,696.8571
2020-07-02,659.7143
2020-07-03,641.8571
2020-07-04,624.7143
2020-07-05,610.7143
2020-07-06,574.4286
2020-07-07,590
2020-07-08,588.5714
2020-07-09,586.5714
2020-07-10,595.2857
2020-07-11,611.8571
2020-07-12,611.8571
2020-07-13,620.2857
2020-07-14,592.8571
2020-07-15,596.5714
2020-07-16,610.2857
2020-07-17,619.4286
2020-07-18,618
2020-07-19,620
2020-07-20,626.7143
2020-07-21,638.4286
2020-07-22,651.2857
2020-07-23,663.1429
2020-07-24,668.7143
2020-07-25,682.4286
2020-07-26,709.8571
2020-07-27,713.4286
2020-07-28,729.8571
2020-07-29,735.4286
2020-07-30,745.1429
2020-07-31,780.2857
2020-08-01,800
2020-08-02,789.1429
2020-08-03,793.2857
2020-08-04,793.4286
2020-08-05,820.7143
2020-08-06,850.7143
2020-08-07,854.8571
2020-08-08,877.5714
2020-08-09,916.8571
2020-08-10,938.4286
2020-08-11,947.4286
2020-08-12,1010.1429
2020-08-13,1054.7142
2020-08-14,1076.2858
2020-08-15,1083.5714
2020-08-16,1113.8572
2020-08-17,1114.4286
